epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.7183,2.1218,3.46847,1.66493,0.05162,0.34453,0.11967,0.0446,1.49291,3.3096,1.26144,0.00028339,0.00028339,0.00028339
2,84.8356,1.58645,1.80805,1.22183,0.94991,0.3045,0.41874,0.23079,1.62917,2.38031,1.18713,0.000571898,0.000571898,0.000571898
3,127.753,1.50392,1.236,1.15293,0.65636,0.48666,0.52067,0.28092,1.6304,1.60325,1.12619,0.000848523,0.000848523,0.000848523
4,171.614,1.43527,1.04207,1.13928,0.60107,0.56545,0.5623,0.2972,1.60391,1.25437,1.18257,0.00111327,0.00111327,0.00111327
5,216.107,1.41563,0.9638,1.13825,0.5842,0.61162,0.59897,0.30907,1.68654,1.06129,1.30555,0.00136613,0.00136613,0.00136613
6,262.807,1.39562,0.95164,1.12626,0.59656,0.61147,0.59141,0.30466,1.58527,0.98834,1.25554,0.00150197,0.00150197,0.00150197
7,311.469,1.39257,0.93909,1.14314,0.62297,0.64972,0.63654,0.33058,1.46656,0.98265,1.18809,0.00146896,0.00146896,0.00146896
8,361.054,1.36362,0.8831,1.12963,0.68095,0.67075,0.67747,0.37238,1.42025,0.83374,1.16497,0.00143595,0.00143595,0.00143595
9,412.658,1.34035,0.85231,1.09682,0.7127,0.6703,0.70347,0.38088,1.47866,0.85502,1.18437,0.00140295,0.00140295,0.00140295
10,464.148,1.32254,0.83325,1.12101,0.73208,0.69966,0.74165,0.39635,1.45311,0.84778,1.18433,0.00136994,0.00136994,0.00136994
11,516.048,1.33272,0.81466,1.10556,0.70927,0.68213,0.72112,0.38212,1.52147,0.82516,1.20545,0.00133693,0.00133693,0.00133693
12,569.051,1.31945,0.77428,1.09772,0.73331,0.69351,0.73961,0.40081,1.42524,0.7873,1.16526,0.00130393,0.00130393,0.00130393
13,623.21,1.28082,0.75689,1.08577,0.78274,0.73321,0.77711,0.42321,1.4347,0.80279,1.18517,0.00127092,0.00127092,0.00127092
14,683.992,1.2976,0.7524,1.09848,0.73944,0.72095,0.75514,0.41207,1.39177,0.73516,1.17227,0.00123791,0.00123791,0.00123791
15,754.35,1.28443,0.72417,1.08583,0.71393,0.77157,0.77047,0.42883,1.37177,0.78612,1.15669,0.00120491,0.00120491,0.00120491
16,824.235,1.27453,0.71063,1.0908,0.75287,0.74642,0.77523,0.43012,1.39269,0.70346,1.15901,0.0011719,0.0011719,0.0011719
17,894.413,1.28696,0.71483,1.08074,0.75833,0.70771,0.76603,0.42689,1.38634,0.72048,1.15518,0.00113889,0.00113889,0.00113889
18,953.782,1.27012,0.72022,1.08512,0.74256,0.74287,0.7672,0.42356,1.39808,0.73665,1.15587,0.00110589,0.00110589,0.00110589
19,1012.25,1.27257,0.71965,1.09493,0.74329,0.74858,0.78069,0.43393,1.42099,0.70494,1.16315,0.00107288,0.00107288,0.00107288
20,1084.41,1.26353,0.69713,1.06573,0.78592,0.75178,0.78234,0.43778,1.3784,0.71187,1.13651,0.00103987,0.00103987,0.00103987
21,1155.45,1.26395,0.69519,1.08103,0.69775,0.73181,0.74838,0.41999,1.36585,0.69822,1.13737,0.00100687,0.00100687,0.00100687
22,1225.83,1.24777,0.6678,1.06762,0.73682,0.75911,0.76351,0.4272,1.35294,0.6981,1.12962,0.000973861,0.000973861,0.000973861
23,1295.56,1.27585,0.68734,1.08039,0.74194,0.7545,0.77412,0.4336,1.40563,0.67592,1.15962,0.000940855,0.000940855,0.000940855
24,1365.71,1.24582,0.65592,1.06455,0.73871,0.77096,0.76875,0.41739,1.48614,0.68826,1.19621,0.000907848,0.000907848,0.000907848
25,1435.85,1.24188,0.66383,1.06044,0.74317,0.75652,0.76883,0.43084,1.3827,0.65815,1.13804,0.000874842,0.000874842,0.000874842
26,1505.38,1.26327,0.67167,1.06652,0.77286,0.72037,0.76924,0.42663,1.36783,0.64926,1.13755,0.000841835,0.000841835,0.000841835
27,1575.04,1.23614,0.65085,1.05121,0.74351,0.75172,0.77193,0.42823,1.36578,0.64949,1.13699,0.000808828,0.000808828,0.000808828
28,1643.92,1.20417,0.64658,1.05933,0.75059,0.78724,0.78102,0.43321,1.39254,0.65553,1.15042,0.000775822,0.000775822,0.000775822
29,1713.78,1.21573,0.64366,1.05716,0.78729,0.69577,0.77826,0.42946,1.3729,0.6462,1.14394,0.000742815,0.000742815,0.000742815
30,1783.27,1.22858,0.64086,1.06136,0.79293,0.78656,0.81308,0.45034,1.36652,0.67403,1.12825,0.000709809,0.000709809,0.000709809
31,1853.09,1.24639,0.66162,1.05933,0.77561,0.7931,0.8099,0.45293,1.37236,0.63533,1.13682,0.000676802,0.000676802,0.000676802
32,1922.68,1.22342,0.62979,1.06132,0.77914,0.78967,0.81651,0.4639,1.34197,0.63017,1.12265,0.000643795,0.000643795,0.000643795
33,1993.37,1.20387,0.61737,1.05116,0.79056,0.79877,0.81041,0.45753,1.35786,0.63018,1.14307,0.000610789,0.000610789,0.000610789
34,2063.27,1.22748,0.63295,1.06265,0.788,0.78912,0.81353,0.45669,1.36692,0.63499,1.12443,0.000577782,0.000577782,0.000577782
35,2132.38,1.22875,0.62848,1.06571,0.78946,0.774,0.80423,0.45496,1.36259,0.60368,1.13736,0.000544776,0.000544776,0.000544776
36,2201.56,1.21615,0.61919,1.06048,0.78498,0.78269,0.81487,0.44944,1.39036,0.62653,1.12835,0.000511769,0.000511769,0.000511769
37,2270.57,1.21476,0.62965,1.05097,0.7484,0.79446,0.80107,0.45228,1.3779,0.61495,1.13883,0.000478762,0.000478762,0.000478762
38,2339.72,1.1963,0.6134,1.05556,0.80604,0.77822,0.82006,0.45417,1.41288,0.61064,1.14757,0.000445756,0.000445756,0.000445756
39,2409.31,1.19054,0.61141,1.03608,0.77951,0.79484,0.81808,0.46061,1.36924,0.59876,1.12722,0.000412749,0.000412749,0.000412749
40,2478.53,1.16336,0.60189,1.03992,0.77937,0.77045,0.78714,0.44432,1.42362,0.62127,1.15921,0.000379743,0.000379743,0.000379743
41,2535.53,1.21442,0.65118,1.0699,0.75598,0.75706,0.75896,0.41146,1.50637,0.6415,1.20485,0.000346736,0.000346736,0.000346736
42,2600.87,1.18423,0.60549,1.06191,0.75665,0.76864,0.78626,0.43643,1.39102,0.63374,1.15268,0.000313729,0.000313729,0.000313729
43,2666.11,1.18386,0.59698,1.04602,0.76633,0.76059,0.77858,0.43948,1.40857,0.64297,1.15295,0.000280723,0.000280723,0.000280723
44,2731.43,1.16678,0.58149,1.04671,0.76109,0.78499,0.78888,0.44962,1.3659,0.61905,1.13749,0.000247716,0.000247716,0.000247716
45,2796.71,1.1775,0.58918,1.05022,0.77399,0.78258,0.79672,0.44814,1.38726,0.61195,1.14267,0.00021471,0.00021471,0.00021471
46,2862.19,1.15837,0.57522,1.04539,0.80134,0.78092,0.81277,0.45614,1.39572,0.60509,1.14199,0.000181703,0.000181703,0.000181703
47,2927.12,1.15104,0.57255,1.04249,0.78353,0.80848,0.81604,0.45802,1.38108,0.59214,1.1349,0.000148696,0.000148696,0.000148696
48,2992.38,1.14508,0.56452,1.03764,0.79895,0.79279,0.82009,0.46369,1.37011,0.5809,1.12657,0.00011569,0.00011569,0.00011569
49,3057.53,1.14416,0.56964,1.03951,0.81744,0.7749,0.81878,0.46042,1.38769,0.58068,1.13398,8.26832e-05,8.26832e-05,8.26832e-05
50,3122.78,1.14517,0.55652,1.04512,0.81921,0.77519,0.81935,0.46169,1.38408,0.57803,1.13492,4.96766e-05,4.96766e-05,4.96766e-05
